SUBJECT,RELATION,OBJECT
805,similarTo,448
813,similarTo,428
819,similarTo,421
247,similarTo,798
1014,similarTo,985
833,similarTo,871
806,similarTo,424
888,similarTo,586
813,similarTo,653
805,similarTo,345
802,similarTo,886
624,similarTo,883
801,similarTo,200
798,similarTo,420
850,similarTo,245
858,similarTo,449
605,similarTo,852
851,similarTo,34
815,similarTo,835
89,similarTo,826
825,similarTo,634
260,similarTo,820
550,similarTo,873
820,similarTo,957
212,similarTo,803
871,similarTo,815
835,similarTo,844
812,similarTo,190
117,similarTo,845
856,similarTo,405
754,similarTo,802
197,similarTo,869
821,similarTo,200
871,similarTo,904
833,similarTo,928
569,similarTo,823
836,similarTo,940
390,similarTo,852
845,similarTo,664
538,similarTo,808
334,similarTo,888
861,similarTo,993
799,similarTo,603
805,similarTo,180
881,similarTo,200
852,similarTo,54
825,similarTo,748
834,similarTo,26
851,similarTo,99
700,similarTo,857
133,similarTo,810
836,similarTo,904
865,similarTo,904
552,similarTo,826
548,similarTo,865
838,similarTo,957
848,similarTo,257
1029,similarTo,981
832,similarTo,146
878,similarTo,344
94,similarTo,805
473,similarTo,845
301,similarTo,806
815,similarTo,952
763,similarTo,858
885,similarTo,98
802,similarTo,621
848,similarTo,675
802,similarTo,734
808,similarTo,498
860,similarTo,491
670,similarTo,799
985,similarTo,1034
416,similarTo,867
830,similarTo,235
804,similarTo,295
608,similarTo,805
831,similarTo,419
870,similarTo,126
841,similarTo,510
957,similarTo,983
834,similarTo,904
882,similarTo,881
841,similarTo,380
512,similarTo,861
841,similarTo,640
399,similarTo,865
976,similarTo,990
107,similarTo,860
965,similarTo,1030
838,similarTo,732
176,similarTo,802
495,similarTo,802
491,similarTo,860
773,similarTo,815
815,similarTo,196
714,similarTo,821
237,similarTo,818
859,similarTo,108
386,similarTo,875
839,similarTo,662
293,similarTo,823
996,similarTo,976
311,similarTo,884
511,similarTo,863
895,similarTo,832
810,similarTo,274
112,similarTo,846
887,similarTo,931
845,similarTo,760
765,similarTo,885
546,similarTo,870
645,similarTo,808
865,similarTo,405
861,similarTo,177
964,similarTo,1012
850,similarTo,886
224,similarTo,805
820,similarTo,904
830,similarTo,5
816,similarTo,342
856,similarTo,187
857,similarTo,578
737,similarTo,845
798,similarTo,743
857,similarTo,815
819,similarTo,708
484,similarTo,818
568,similarTo,820
873,similarTo,753
873,similarTo,157
229,similarTo,872
985,similarTo,995
811,similarTo,916
808,similarTo,113
448,similarTo,805
871,similarTo,957
824,similarTo,955
845,similarTo,476
857,similarTo,905
553,similarTo,822
54,similarTo,852
584,similarTo,805
826,similarTo,200
882,similarTo,449
851,similarTo,77
819,similarTo,689
808,similarTo,945
835,similarTo,920
523,similarTo,799
385,similarTo,803
801,similarTo,389
903,similarTo,856
800,similarTo,425
844,similarTo,920
722,similarTo,826
832,similarTo,105
846,similarTo,216
432,similarTo,859
363,similarTo,847
285,similarTo,821
816,similarTo,71
802,similarTo,244
838,similarTo,844
607,similarTo,814
636,similarTo,820
833,similarTo,183
861,similarTo,682
829,similarTo,815
1005,similarTo,997
957,similarTo,969
833,similarTo,450
861,similarTo,86
465,similarTo,852
812,similarTo,95
846,similarTo,369
857,similarTo,619
595,similarTo,873
960,similarTo,904
843,similarTo,171
359,similarTo,854
129,similarTo,839
717,similarTo,880
529,similarTo,808
798,similarTo,261
995,similarTo,985
992,similarTo,965
81,similarTo,861
867,similarTo,957
803,similarTo,164
985,similarTo,1031
325,similarTo,813
867,similarTo,416
807,similarTo,93
850,similarTo,343
817,similarTo,264
818,similarTo,761
857,similarTo,732
846,similarTo,112
365,similarTo,803
802,similarTo,754
555,similarTo,815
998,similarTo,1025
487,similarTo,889
835,similarTo,956
798,similarTo,392
230,similarTo,855
827,similarTo,893
985,similarTo,999
870,similarTo,217
822,similarTo,740
853,similarTo,154
837,similarTo,905
882,similarTo,874
2,similarTo,876
889,similarTo,139
811,similarTo,68
614,similarTo,885
820,similarTo,601
838,similarTo,820
1025,similarTo,1030
798,similarTo,95
873,similarTo,449
816,similarTo,931
846,similarTo,612
865,similarTo,826
804,similarTo,452
677,similarTo,820
1012,similarTo,960
969,similarTo,957
337,similarTo,820
513,similarTo,816
856,similarTo,784
813,similarTo,33
280,similarTo,833
863,similarTo,657
849,similarTo,425
161,similarTo,854
256,similarTo,856
24,similarTo,808
821,similarTo,654
209,similarTo,832
842,similarTo,563
806,similarTo,631
478,similarTo,798
798,similarTo,160
973,similarTo,861
543,similarTo,801
239,similarTo,833
802,similarTo,442
877,similarTo,171
807,similarTo,515
389,similarTo,801
798,similarTo,489
741,similarTo,879
848,similarTo,571
865,similarTo,918
867,similarTo,815
214,similarTo,832
855,similarTo,727
826,similarTo,89
835,similarTo,578
909,similarTo,814
846,similarTo,244
844,similarTo,904
833,similarTo,957
320,similarTo,819
851,similarTo,419
764,similarTo,868
789,similarTo,818
856,similarTo,870
811,similarTo,577
182,similarTo,813
846,similarTo,627
870,similarTo,746
851,similarTo,751
884,similarTo,565
833,similarTo,215
669,similarTo,850
658,similarTo,804
808,similarTo,756
842,similarTo,380
810,similarTo,809
194,similarTo,814
770,similarTo,884
849,similarTo,302
852,similarTo,605
851,similarTo,15
803,similarTo,118
848,similarTo,602
813,similarTo,797
870,similarTo,576
856,similarTo,904
867,similarTo,952
935,similarTo,885
839,similarTo,560
861,similarTo,15
411,similarTo,818
407,similarTo,839
103,similarTo,799
499,similarTo,810
844,similarTo,940
876,similarTo,570
848,similarTo,118
223,similarTo,855
350,similarTo,804
839,similarTo,222
800,similarTo,621
830,similarTo,470
826,similarTo,904
55,similarTo,873
281,similarTo,801
816,similarTo,122
882,similarTo,429
210,similarTo,805
799,similarTo,33
452,similarTo,804
755,similarTo,859
846,similarTo,458
769,similarTo,814
849,similarTo,265
867,similarTo,213
80,similarTo,826
191,similarTo,818
917,similarTo,866
291,similarTo,804
970,similarTo,1012
178,similarTo,814
238,similarTo,879
579,similarTo,844
856,similarTo,920
647,similarTo,799
823,similarTo,890
772,similarTo,808
946,similarTo,859
837,similarTo,904
392,similarTo,798
804,similarTo,275
862,similarTo,564
809,similarTo,577
258,similarTo,824
800,similarTo,507
539,similarTo,857
613,similarTo,804
833,similarTo,239
802,similarTo,50
884,similarTo,676
899,similarTo,852
441,similarTo,866
838,similarTo,242
202,similarTo,873
820,similarTo,544
830,similarTo,455
849,similarTo,604
571,similarTo,848
318,similarTo,855
966,similarTo,962
835,similarTo,427
433,similarTo,870
574,similarTo,854
204,similarTo,863
187,similarTo,856
830,similarTo,738
410,similarTo,857
92,similarTo,848
327,similarTo,802
367,similarTo,819
36,similarTo,833
249,similarTo,856
378,similarTo,800
497,similarTo,814
880,similarTo,874
885,similarTo,232
446,similarTo,855
23,similarTo,830
839,similarTo,496
794,similarTo,848
681,similarTo,861
20,similarTo,868
915,similarTo,825
135,similarTo,808
871,similarTo,578
391,similarTo,821
859,similarTo,160
831,similarTo,576
984,similarTo,981
140,similarTo,852
1015,similarTo,1025
793,similarTo,818
812,similarTo,30
809,similarTo,68
864,similarTo,864
835,similarTo,904
965,similarTo,273
844,similarTo,820
865,similarTo,576
1019,similarTo,960
750,similarTo,833
885,similarTo,72
868,similarTo,88
820,similarTo,835
810,similarTo,591
829,similarTo,835
105,similarTo,832
815,similarTo,904
808,similarTo,200
823,similarTo,159
830,similarTo,857
962,similarTo,578
870,similarTo,918
810,similarTo,757
865,similarTo,399
277,similarTo,839
836,similarTo,196
894,similarTo,825
480,similarTo,814
824,similarTo,486
666,similarTo,827
857,similarTo,46
854,similarTo,154
286,similarTo,818
650,similarTo,819
830,similarTo,835
816,similarTo,641
821,similarTo,119
215,similarTo,833
820,similarTo,815
985,similarTo,1001
962,similarTo,185
865,similarTo,619
823,similarTo,674
659,similarTo,839
113,similarTo,808
1002,similarTo,981
824,similarTo,934
800,similarTo,931
834,similarTo,273
835,similarTo,829
811,similarTo,810
396,similarTo,800
824,similarTo,219
872,similarTo,35
71,similarTo,816
838,similarTo,196
634,similarTo,825
872,similarTo,829
100,similarTo,855
451,similarTo,873
930,similarTo,870
830,similarTo,904
331,similarTo,856
825,similarTo,52
803,similarTo,50
268,similarTo,865
811,similarTo,70
975,similarTo,997
816,similarTo,421
798,similarTo,116
522,similarTo,846
799,similarTo,61
879,similarTo,321
514,similarTo,806
627,similarTo,846
344,similarTo,878
110,similarTo,855
855,similarTo,262
1016,similarTo,1025
993,similarTo,904
826,similarTo,324
264,similarTo,817
907,similarTo,827
435,similarTo,805
829,similarTo,857
878,similarTo,542
728,similarTo,813
830,similarTo,820
60,similarTo,814
562,similarTo,852
1037,similarTo,962
795,similarTo,802
870,similarTo,200
862,similarTo,349
1031,similarTo,985
1004,similarTo,1012
332,similarTo,816
642,similarTo,820
9,similarTo,853
207,similarTo,857
887,similarTo,74
358,similarTo,846
874,similarTo,355
845,similarTo,243
309,similarTo,805
443,similarTo,876
886,similarTo,580
707,similarTo,801
462,similarTo,884
849,similarTo,931
868,similarTo,79
823,similarTo,102
272,similarTo,823
854,similarTo,116
525,similarTo,856
69,similarTo,886
1028,similarTo,941
656,similarTo,846
489,similarTo,798
713,similarTo,818
1010,similarTo,962
816,similarTo,887
193,similarTo,832
678,similarTo,819
261,similarTo,798
567,similarTo,824
278,similarTo,821
667,similarTo,813
128,similarTo,826
881,similarTo,126
665,similarTo,863
104,similarTo,861
852,similarTo,150
849,similarTo,185
862,similarTo,302
534,similarTo,832
929,similarTo,827
217,similarTo,870
629,similarTo,839
997,similarTo,990
740,similarTo,822
851,similarTo,314
855,similarTo,312
418,similarTo,855
927,similarTo,852
19,similarTo,870
870,similarTo,856
152,similarTo,819
315,similarTo,852
875,similarTo,766
960,similarTo,1000
836,similarTo,835
746,similarTo,870
997,similarTo,1032
986,similarTo,1028
397,similarTo,808
729,similarTo,830
533,similarTo,835
965,similarTo,960
877,similarTo,640
871,similarTo,905
811,similarTo,901
867,similarTo,926
724,similarTo,832
950,similarTo,870
25,similarTo,845
372,similarTo,846
290,similarTo,854
0,similarTo,818
545,similarTo,854
615,similarTo,856
820,similarTo,732
456,similarTo,852
703,similarTo,863
815,similarTo,732
982,similarTo,962
805,similarTo,224
99,similarTo,851
874,similarTo,171
820,similarTo,920
860,similarTo,818
29,similarTo,869
226,similarTo,860
813,similarTo,799
881,similarTo,856
1028,similarTo,960
28,similarTo,815
353,similarTo,831
192,similarTo,823
287,similarTo,823
504,similarTo,818
269,similarTo,815
41,similarTo,855
471,similarTo,804
893,similarTo,827
637,similarTo,817
271,similarTo,881
235,similarTo,830
660,similarTo,866
916,similarTo,811
1028,similarTo,904
690,similarTo,804
861,similarTo,454
540,similarTo,835
811,similarTo,938
354,similarTo,869
844,similarTo,366
891,similarTo,814
43,similarTo,855
145,similarTo,803
835,similarTo,732
870,similarTo,874
393,similarTo,861
978,similarTo,960
83,similarTo,808
709,similarTo,830
867,similarTo,27
840,similarTo,886
840,similarTo,302
