SUBJECT,RELATION,OBJECT
889,similarTo,726
813,similarTo,21
1000,similarTo,960
822,similarTo,890
814,similarTo,480
859,similarTo,498
850,similarTo,138
811,similarTo,447
849,similarTo,404
851,similarTo,22
810,similarTo,938
610,similarTo,833
848,similarTo,234
1028,similarTo,958
863,similarTo,162
868,similarTo,115
868,similarTo,352
814,similarTo,175
830,similarTo,680
861,similarTo,679
628,similarTo,875
821,similarTo,519
862,similarTo,283
460,similarTo,826
873,similarTo,485
864,similarTo,501
298,similarTo,826
8,similarTo,803
879,similarTo,245
184,similarTo,822
508,similarTo,826
870,similarTo,904
865,similarTo,196
848,similarTo,715
233,similarTo,833
506,similarTo,803
842,similarTo,131
830,similarTo,709
978,similarTo,1024
810,similarTo,811
801,similarTo,281
823,similarTo,949
189,similarTo,804
303,similarTo,850
823,similarTo,272
957,similarTo,1033
864,similarTo,674
813,similarTo,137
798,similarTo,702
805,similarTo,779
815,similarTo,830
383,similarTo,833
132,similarTo,835
343,similarTo,850
839,similarTo,659
815,similarTo,957
817,similarTo,357
845,similarTo,262
868,similarTo,306
756,similarTo,808
492,similarTo,835
944,similarTo,804
851,similarTo,136
1025,similarTo,967
838,similarTo,904
801,similarTo,742
835,similarTo,27
450,similarTo,833
846,similarTo,481
844,similarTo,609
1025,similarTo,1016
857,similarTo,828
872,similarTo,957
781,similarTo,839
205,similarTo,813
801,similarTo,254
810,similarTo,499
835,similarTo,540
833,similarTo,36
833,similarTo,382
835,similarTo,5
814,similarTo,178
819,similarTo,320
953,similarTo,863
874,similarTo,880
802,similarTo,590
985,similarTo,1008
803,similarTo,270
832,similarTo,431
307,similarTo,819
832,similarTo,209
699,similarTo,808
860,similarTo,226
808,similarTo,772
932,similarTo,880
168,similarTo,850
876,similarTo,876
864,similarTo,333
842,similarTo,179
882,similarTo,701
826,similarTo,80
823,similarTo,10
798,similarTo,58
962,similarTo,1037
819,similarTo,469
962,similarTo,1010
810,similarTo,133
858,similarTo,38
