tid,label,token
279466,GPE,Rajasthan
279466,PERSON,Devdutta Dheer
279466,ORG,Janki Vallabh And Ors.
279466,DATE,"19 September, 1985"
279466,DATE,"1986 Raj 170, 1985"
279466,CARDINAL,320
279466,PERSON,G K Sharma
279466,PERSON,G K Sharma
279466,PERSON,Gopal Krishna Sharma
279466,CARDINAL,1\
279466,GPE,Jaipur District
279466,GPE,Jaipur
279466,DATE,"10th Jan., 81"
279466,PERSON,Munsif
279466,GPE,Jaipur District Jaipur
279466,DATE,"24th May, 80"
279466,PERSON,Birdhichand
279466,PERSON,Jankivallabh
279466,PERSON,Parmanand
279466,DATE,20/- before
279466,PERSON,Munsif
279466,DATE,"17th Jan., 68"
279466,DATE,30/-per month
279466,DATE,1st Mar.
279466,DATE,67
279466,DATE,"the end of
1970"
279466,PERSON,Munsif
279466,DATE,"9th Feb., 68"
279466,PERSON,Birdhichand
279466,PERSON,Parmanand
279466,PERSON,Jankivallabh
279466,GPE,Birdhichand
279466,PERSON,Devdutta Dheer
279466,PERSON,Parmanand
279466,DATE,30/- per month
279466,DATE,the end of 1970
279466,DATE,30/-per month
279466,DATE,the year 1970
279466,CARDINAL,3\
279466,PERSON,Munsif
279466,DATE,"15th Jan., 81"
279466,CARDINAL,4
279466,PERSON,J. S. Rastogi
279466,ORG,Court
279466,ORG,Court
279466,DATE,20/-per month
279466,DATE,30/- per month
279466,DATE,the end of 1970
279466,PERSON,Rastogi
279466,CARDINAL,5
279466,PERSON,Rastogi
279466,DATE,1970
279466,PERSON,Rastogi
279466,DATE,1970
279466,ORG,Court
279466,CARDINAL,6
279466,PERSON,Rastogi
279466,CARDINAL,7\
279466,GPE,Kanmal
279466,GPE,Hukamchand
279466,DATE,1966 Raj 178
279466,ORG,Division Bench
279466,LAW,Order 23
279466,CARDINAL,3
279466,DATE,each month
279466,CARDINAL,8\
279466,DATE,"the
end of 1970"
279466,CARDINAL,9
279466,PERSON,Khalli Rath
279466,PERSON,Eppili Ramachandra
279466,DATE,1953 Orissa 74
279466,DATE,"the end of the
years"
279466,CARDINAL,one
279466,CARDINAL,one
279466,PERSON,Khalli Rath
279466,ORG,the Orissa High Court
279466,DATE,20/- per month
279466,DATE,30/- per month
279466,DATE,1st Mar. 67
279466,DATE,the end of 1970
279466,DATE,"up to
28th Feb. 67"
279466,DATE,20/- per month
279466,DATE,9th Feb. 68
279466,DATE,"the end of
1970"
279466,DATE,1st Mar. 67
279466,DATE,"30/- per
month"
279466,DATE,30/- per month
279466,DATE,only up to 28th Feb. 67
279466,DATE,the end of 1970
279466,DATE,"30/-
per month"
279466,DATE,up to the end of 1970
279466,DATE,the end of 1970
279466,DATE,the end of 1970
279466,DATE,the end of 1970
279466,DATE,30/-per month
279466,DATE,1970
279466,CARDINAL,10\
279466,PERSON,Dhan Mia
279466,PERSON,Jamila Khatun
279466,DATE,1952 Assam 21
279466,PERSON,J.D.
279466,WORK_OF_ART,D.H.
279466,CARDINAL,11
279466,PERSON,Sudhir Kumar
279466,DATE,1966 J & K 13
279466,DATE,four years
279466,DATE,1-1-1963
279466,LAW,Clause (1)
279466,DATE,1-1-1963
279466,LAW,"Section 111 of T. P.
Act"
279466,LAW,"the T. P.
Act"
279466,LAW,"T. P.
Act"
279466,ORG,the J & K High Court
279466,PERSON,B. K. Thapar's
279466,ORG,Supreme Court
279466,ORG,the Supreme Court
279466,GPE,Sudhir
279466,PERSON,Baldev Krishna Thapar
279466,DATE,1969
279466,CARDINAL,3
279466,CARDINAL,611
279466,DATE,monthly
279466,DATE,monthly
279466,ORG,Lordships
279466,ORG,the Supreme Court
279466,CARDINAL,12
279466,GPE,Babulal
279466,GPE,Gulabchand
279466,PERSON,Nathulal Badrilal
279466,DATE,1976
279466,PRODUCT,Madh Pra 222
279466,ORG,Court
279466,CARDINAL,13\
279466,GPE,Bhavan
279466,GPE,Vaja
279466,PERSON,Solanki Hanuji Khaoji Mansang
279466,DATE,1972 SC 1371
279466,ORG,Court
279466,ORG,Court
279466,CARDINAL,14
279466,ORG,the Supreme Court
279466,DATE,the end of 1970
279466,DATE,1970
279466,DATE,the end of 1970
279466,CARDINAL,15
279466,DATE,the end of 1970
279466,CARDINAL,16
279466,DATE,1970
279466,DATE,1970
279466,DATE,1970
279466,CARDINAL,17
279466,GPE,Bhawanji
279466,GPE,Lakhamshi
279466,PERSON,Himatlal Jamnadas Dani
279466,DATE,1972
279466,LAW,"the Act (Bombay Rents, Hotel"
279466,LAW,"Lodging House Rates
(Control) Act"
279466,DATE,1947
279466,CARDINAL,18\
279466,PERSON,Bai Chanchal
279466,PERSON,Syed Jalaluddin
279466,DATE,1971 SC 1081
279466,ORG,the Supreme Court
279466,DATE,a period of five years
279466,CARDINAL,two
279466,DATE,"8th July, 1946 and 28th Jan., 1949"
279466,MONEY,"7,314.80"
279466,CARDINAL,199
279466,DATE,1895
279466,DATE,monthly
279466,DATE,"five
years"
279466,DATE,three years
279466,DATE,five years
279466,CARDINAL,19
279466,DATE,the end of 1970
279466,DATE,the end of 1970
279466,CARDINAL,20\
