tid,label,token
190196010,ORG,Calcutta High Court
190196010,ORG,Castral India Ltd
190196010,ORG,Tide Water Oil Co.(India) Ltd
190196010,DATE,9 March
190196010,DATE,2010
190196010,PERSON,Maharaj Sinha
190196010,CARDINAL,415
190196010,DATE,1993
190196010,ORG,CASTRAL INDIA LTD
190196010,ORG,"Versus
                               TIDE WATER OIL CO."
190196010,ORG,INDIA) LTD
190196010,DATE,9 March 2010
190196010,ORG,Court
190196010,PERSON,S. Chandra A.R.
