tid,label,token
1509628,ORG,Supreme Court of India
1509628,PERSON,Sanjay Singh & Anr.
1509628,ORG,U.P. Public Service
1509628,DATE,"9 January,
2007"
1509628,PERSON,Raveendran
1509628,PERSON,Y.K. Sabharwal
1509628,PERSON,C. K. Thakker
1509628,PERSON,R. V. Raveendran
1509628,CARDINAL,165
1509628,DATE,2005
1509628,PERSON,Sanjay Singh
1509628,ORG,U.P. Public Service Commission
1509628,ORG,Allahabad & Anr.
1509628,CARDINAL,09/01/2007
1509628,PERSON,R. V. Raveendran
1509628,CARDINAL,409
1509628,CARDINAL,466
1509628,CARDINAL,467
1509628,LAW,Article 32 of the Constitution of India
1509628,ORG,the Uttar Pradesh Public Service Commission
1509628,ORG,Commission
1509628,ORG,Civil Judge
1509628,ORG,Junior Division
1509628,CARDINAL,2
1509628,ORG,the Allahabad High Court
1509628,CARDINAL,347
1509628,ORG,Civil Judge
1509628,ORG,Junior Division
1509628,ORG,Commission
1509628,ORG,the Employment News
1509628,CARDINAL,28.11.2003
1509628,CARDINAL,51524
1509628,LAW,"the ""U.P. Judicial Service Civil Judge, (Junior
Division) Preliminary Examination, 2003"""
1509628,ORG,Commission
1509628,CARDINAL,21.3.2004
1509628,CARDINAL,two
1509628,ORG,General Knowledge
1509628,PERSON,Law
1509628,CARDINAL,30.6.2004
1509628,CARDINAL,6046
1509628,WORK_OF_ART,"the ""U.P. Civil
Judge (Junior Division) Examination (Main)"
1509628,DATE,2003
1509628,CARDINAL,five
1509628,MONEY,200 marks
1509628,CARDINAL,II
1509628,DATE,"between 5th and 7th October, 2004"
1509628,CARDINAL,5748
1509628,CARDINAL,3\
1509628,CARDINAL,18
1509628,CARDINAL,14
1509628,CARDINAL,11
1509628,CARDINAL,10
1509628,PERSON,Law
1509628,CARDINAL,14
1509628,CARDINAL,7.3.2005
1509628,CARDINAL,1290
1509628,CARDINAL,"between 14.4.2005 and
26.4.2005"
1509628,ORG,Commission
1509628,CARDINAL,1.5.2005
1509628,ORG,Commission
1509628,CARDINAL,347
1509628,ORG,Civil Judge
1509628,ORG,Junior Division
1509628,CARDINAL,4
1509628,ORG,Commission
1509628,LAW,the Uttar Pradesh Judicial Service Rules
1509628,DATE,2001
1509628,ORG,Commission
1509628,CARDINAL,4.1
1509628,ORG,W.P
1509628,CARDINAL,5.4.2005
1509628,ORG,Commission
1509628,LAW,the Main Examination
1509628,LAW,a Bench of three
1509628,LAW,a Bench of
1509628,CARDINAL,two
1509628,ORG,Court
1509628,ORG,U.P. Public Service Commission
1509628,PERSON,Subhash Chandra Dixit
1509628,DATE,2003
1509628,LAW,(12) SCC 701
1509628,ORG,Commission
1509628,CARDINAL,4.2
1509628,LAW,"U.P.
Civil Judge (Junior Division) Main Examination-2003"
1509628,CARDINAL,7.3.2005
1509628,CARDINAL,1.5.2005
1509628,ORG,Commission
1509628,ORG,Commission
1509628,WORK_OF_ART,Subhash Chandra Dixit
1509628,CARDINAL,5
1509628,ORG,Court
1509628,ORG,S. C. Dixit
1509628,ORG,Commission
1509628,DATE,2000
1509628,LAW,Article 32
1509628,PERSON,S. C. Dixit
1509628,LAW,Constitution Bench
1509628,ORG,Court
1509628,LAW,Rupa Ashok Hurra v.
1509628,PERSON,Ashok Hurra
1509628,DATE,2002 (4
1509628,LAW,) SCC 388
1509628,LAW,"Article
32"
1509628,ORG,Court
1509628,ORG,"a High
Court"
1509628,ORG,State
1509628,LAW,Article 12
1509628,LAW,Review Petition (Civil) No. 162/2004
1509628,LAW,"Curative
Petition No.43/2004"
1509628,WORK_OF_ART,S. C. Dixit
1509628,CARDINAL,04.2.2004
1509628,CARDINAL,6.10.2004
1509628,CARDINAL,6
1509628,ORG,Commission
1509628,LAW,Civil Judge (Junior Division) Examination
1509628,LAW,"Rule 50 of the U.P.Public Service Commission (Procedure
and Conduct of Business) Rules"
1509628,DATE,1976
1509628,ORG,Commission
1509628,CARDINAL,7\
1509628,ORG,Commission
1509628,LAW,S. C. Dixit (supra)
1509628,CARDINAL,8\
1509628,ORG,Court
1509628,LAW,Article 32
1509628,LAW,Article 137
1509628,PERSON,Ashok Hurra
1509628,ORG,a High Court
1509628,LAW,"Articles
132 to 134"
1509628,LAW,Article 136
1509628,LAW,Article 32
1509628,LAW,"Civil
Procedure Code"
1509628,ORG,"High
Court"
1509628,ORG,Supreme Court
1509628,LAW,S. C. Dixit (supra)
1509628,LAW,UP Civil Judge (Junior Division
1509628,ORG,Examination
1509628,DATE,2000
1509628,EVENT,the UP Nyayik Sewa Niyamawali
1509628,DATE,1951
1509628,LAW,the UP Civil Judge (Junior Division) Examination
1509628,DATE,2003
1509628,LAW,the UP Judicial Service Rules 2001
1509628,GPE,S.C
1509628,PERSON,Dixit
1509628,ORG,Commission
1509628,GPE,S.C. Dixit
1509628,PERSON,Rupa Ashok Hurra
1509628,CARDINAL,10\
1509628,ORG,Commission
1509628,CARDINAL,three
1509628,ORG,Court
1509628,PERSON,Rupa Ashok Hurra
1509628,LAW,Article 32
1509628,ORG,Court
1509628,LAW,Article 32
1509628,LAW,Article 32
1509628,ORG,Court
1509628,ORG,Court
1509628,ORG,Bench
1509628,ORG,Bench
1509628,LAW,Article 32
1509628,CARDINAL,11\
1509628,LAW,Article 234 of the Constitution
1509628,LAW,"the Judicial
Service of a State"
1509628,ORG,State
1509628,LAW,Rules
1509628,ORG,the State Public Service Commission
1509628,ORG,the High Court
1509628,ORG,State
1509628,LAW,"The UP Judicial Service
Rules"
1509628,DATE,2001
1509628,LAW,short 'Judicial Service Rules'
1509628,GPE,Uttar Pradesh
1509628,LAW,Article 234
1509628,LAW,"Article 309
of the Constitution"
1509628,ORG,Commission
1509628,ORG,"the Allahabad
High Court"
1509628,ORG,"Uttar Pradesh
Judicial Service"
1509628,LAW,The Judicial Service Rules
1509628,FAC,"the 'Uttar Pradesh
Nyayik Sewa Niyamawali"
1509628,DATE,1951
1509628,LAW,"The Judicial Service
Rules"
1509628,LAW,the Uttar Pradesh Judicial Service (Amendment) Rules
1509628,DATE,2003
1509628,LAW,Rule 7 of the Judicial Service Rules
1509628,LAW,Civil Judge (Junior Division)
1509628,ORG,Commission
1509628,ORG,Judicial Service
1509628,LAW,Rule 16
1509628,LAW,Rule 19
1509628,CARDINAL,16
1509628,ORG,Commission
1509628,LAW,Syllabus
1509628,LAW,rule 19
1509628,ORG,Commission
1509628,LANGUAGE,Hindi
1509628,LANGUAGE,English
1509628,LANGUAGE,Urdu
1509628,CARDINAL,19
1509628,LAW,the Appendix II
1509628,ORG,Commission
1509628,ORG,Court
1509628,LAW,Appendix II to the Rules
1509628,CARDINAL,five
1509628,CARDINAL,200
1509628,PRODUCT,Personality Test
1509628,MONEY,100 marks
1509628,LAW,Appendix-II
1509628,LAW,Sub-Rule (1) of Rule 20 of the Judicial Service Rules
1509628,ORG,Commission
1509628,LAW,Sub-Rule (2)
1509628,CARDINAL,3
1509628,ORG,Commission
1509628,CARDINAL,two
1509628,CARDINAL,two
1509628,LAW,Rule 21
1509628,ORG,Commission
1509628,LAW,Rule 20(3)
1509628,LAW,Civil Judge (Junior Division)
1509628,LAW,"the Judicial Service
Rules"
1509628,ORG,Judicial Service
1509628,CARDINAL,13\
1509628,LAW,the Judicial Service Rules
1509628,LAW,Appendix II
1509628,LAW,"the Judicial
Service Rules"
1509628,ORG,Commission
1509628,CARDINAL,14
1509628,ORG,Commission
1509628,ORG,Commission
1509628,ORG,Judicial Service
1509628,LAW,"the Uttar Pradesh Public Service Commission (Procedure and Conduct of
Business) Rules"
1509628,DATE,1976
1509628,LAW,short 'PSC Procedure Rules'
1509628,ORG,Commission
1509628,LAW,"the UP State Public Service Commission
(Regulation of Procedure and Conduct of Business) Act"
1509628,DATE,1974
1509628,LAW,Rule 26
1509628,ORG,Examiners
1509628,ORG,Committee
1509628,LAW,Rule 28
1509628,ORG,Commission
1509628,ORG,Commission
1509628,ORG,Committee
1509628,LAW,Rule 30
1509628,LAW,Rule 33
1509628,LAW,Rule 34
1509628,LAW,Rule 37
1509628,LAW,"Rule
38"
1509628,ORG,Commission
1509628,LAW,Rule 44
1509628,ORG,Commission
1509628,LAW,Rule 45
1509628,LAW,Rule 47
1509628,LAW,Rule 49
1509628,ORG,Commission
1509628,ORG,Board
1509628,DATE,any day
1509628,LAW,Rule 50
1509628,LAW,Rule 51
1509628,DATE,the last day
1509628,ORG,Commission
1509628,LAW,"Rule
51"
1509628,ORG,Commission
1509628,ORG,Commission
1509628,LAW,Rule 51
1509628,CARDINAL,15
1509628,LAW,the PSC Procedure Rules
1509628,ORG,the High Court
1509628,LAW,"the Judicial Service
Rules"
1509628,DATE,2001
1509628,CARDINAL,1.7.2000
1509628,ORG,Commission
1509628,ORG,the High Court
1509628,LAW,"the
Judicial Service Rules"
1509628,LAW,"Civil
Judges (Junior Division)"
1509628,LAW,Rule 51 of PSC Procedure Rules
1509628,ORG,Court
1509628,PERSON,Bal Mukund Sah
1509628,DATE,2000 (4
1509628,CARDINAL,640
1509628,GPE,India
1509628,PERSON,Hansoli Devi
1509628,DATE,2002
1509628,CARDINAL,7
1509628,CARDINAL,273
1509628,ORG,Union of India
1509628,PERSON,Deoki Nandan Aggarwal
1509628,DATE,1992
1509628,LAW,Supp. 1 SCC 323
1509628,LAW,Rules
1509628,CARDINAL,16
1509628,ORG,this Court in S. C. Dixit
1509628,LAW,the PSC Procedure Rules
1509628,LAW,"the
U.P. State Public Service Commission (Regulation of Procedure and Conduct of
Business"
1509628,DATE,1974
1509628,ORG,Commission
1509628,LAW,Rules
1509628,CARDINAL,17
1509628,LAW,Judicial Service Rules
1509628,ORG,Judicial Service
1509628,LAW,Article 234
1509628,ORG,the High Court
1509628,LAW,the Judicial Service Rules
1509628,ORG,Commission
1509628,LAW,The Judicial Service Rules
1509628,ORG,Commission
1509628,LAW,the Judicial Service Rules
1509628,ORG,Commission
1509628,LAW,Rules
1509628,LAW,the Judicial Service Rules
1509628,LAW,PSC Procedure Rules
1509628,LAW,the Judicial Service Rules
1509628,LAW,Rules
1509628,LAW,"the
PSC Procedure Rules"
1509628,LAW,the Judicial Service Rules
1509628,CARDINAL,18\
1509628,LAW,the Judicial Service Rules
1509628,LAW,"the PSC Procedure
Rules"
1509628,LAW,Rule 20
1509628,CARDINAL,3
1509628,LAW,"Appendix-II of the
Judicial Service Rules"
1509628,LAW,Rule 51 of the PSC Procedure Rules
1509628,LAW,Judicial Service Rules PSC Procedure Rules
1509628,CARDINAL,20
