tid,label,token
1269197,ORG,Delhi High Court
1269197,NORP,North American
1269197,DATE,"12 May, 2006"
1269197,DATE,2006
1269197,CARDINAL,32
1269197,CARDINAL,573
1269197,PERSON,M B Lokur
1269197,PERSON,M B Lokur
1269197,PERSON,JUDGMENT Madan B. Lokur
1269197,NORP,J.
1269197,DATE,1941
1269197,CARDINAL,1
1269197,ORG,Plaintiff
1269197,ORG,Corporation
1269197,GPE,"the United States of
America"
1269197,PRODUCT,Fedders
1269197,GPE,the United States of America
1269197,CARDINAL,2
1269197,DATE,"21st May, 1956"
1269197,ORG,Plaintiff
1269197,ORG,"Fedders-
Quigan Corporation"
1269197,ORG,"Lloyd Electric and
Engineering Company"
1269197,ORG,LEECO
1269197,ORG,"Pandit
Kanhaiya Lal Punj"
1269197,PERSON,Suraj Prakash
1269197,CARDINAL,3
1269197,ORG,Plaintiff
1269197,ORG,LEECO
1269197,DATE,"a period of five years from 30th June,
1956"
1269197,ORG,Plaintiff
1269197,CARDINAL,4
1269197,CARDINAL,One
1269197,ORG,Fedders
1269197,ORG,Plaintiff
1269197,ORG,LEECO
1269197,ORG,Page 1942
1269197,PRODUCT,Fedders
1269197,PERSON,Plaintiff
1269197,ORG,Lloyd
1269197,ORG,Fedders
1269197,ORG,Lloyd
1269197,ORG,Fedders
1269197,PERSON,Fedders
1269197,ORG,Fedders
1269197,ORG,Fedders
1269197,ORG,Lloyd
1269197,ORG,Fedders
1269197,LAW,Fedders
1269197,PERSON,Fedders
1269197,CARDINAL,5
1269197,ORG,LEECO
1269197,DATE,"21st May, 1956"
1269197,ORG,LEECO
1269197,DATE,"18th July, 1956"
1269197,ORG,Fedders
1269197,DATE,"19th February, 1958"
1269197,ORG,Fedders
1269197,ORG,the Trade Marks Registration Authority
1269197,LAW,LEECO under No. 175253
1269197,ORG,LEECO
1269197,DATE,"18th July, 1956"
1269197,ORG,the Trade Marks Registration Authority
1269197,ORG,"Fedders
Lloyd Corporation"
1269197,LAW,Defendant No. 18
1269197,DATE,"16th January, 1957"
1269197,ORG,LEECO
1269197,ORG,Fedders Lloyd Corporation Ltd.
1269197,ORG,Fedders Corporation
1269197,DATE,2005
1269197,CARDINAL,30
1269197,CARDINAL,353
1269197,DATE,"11th February, 1957"
1269197,ORG,LEECO
1269197,LAW,Defendant No. 18
1269197,ORG,Defendant
1269197,ORG,Fedders Lloyd
1269197,ORG,Fedders of LEECO
1269197,CARDINAL,6
1269197,ORG,Plaintiff
1269197,PRODUCT,Fedders
1269197,ORG,LEECO
1269197,DATE,"24th February, 1958"
1269197,ORG,LEECO
1269197,PERSON,Plaintiff
1269197,CARDINAL,175253
1269197,DATE,"18th July, 1956"
1269197,ORG,Plaintiff
1269197,ORG,the Trade Marks Registration Authority
1269197,DATE,"about 20th August, 1958"
1269197,PERSON,Page 1943
1269197,CARDINAL,7
1269197,DATE,"20th August, 1958"
1269197,ORG,Fedders
1269197,ORG,Plaintiff
1269197,ORG,LEECO
1269197,LAW,Defendant No. 18
1269197,ORG,LEECO
1269197,LAW,Defendant No. 18
