tid,label,token
693281,ORG,Supreme Court of India
693281,PERSON,Konch
693281,PERSON,Maharaj Singh
693281,DATE,"17 November, 2000"
693281,DATE,2003
693281,CARDINAL,1080
693281,DATE,2003) 9
693281,CARDINAL,191
693281,PERSON,G Pattanaik
693281,PERSON,U Banerjee
693281,CARDINAL,1\
693281,CARDINAL,2\
693281,CARDINAL,3\
693281,ORG,Allahabad High Court
693281,LAW,"CMWP No.
32309/1993"
693281,ORG,the U.P. Public Service Tribunal
693281,ORG,Tribunal
693281,DATE,"5th May, 1993"
693281,ORG,"the
High Court"
693281,ORG,The High Court
693281,ORG,the High Court
693281,LAW,the Writ Petition
693281,ORG,the High Court
693281,LAW,Article 226 of the Constitution
693281,ORG,the High Court
693281,ORG,"the High
Court"
693281,ORG,"the U.P.
Public Service Tribunal"
693281,CARDINAL,4
693281,ORG,the High Court
693281,ORG,the High Court
693281,LAW,Article 226
693281,ORG,the U.P. Public Service Tribunal
693281,ORG,Court
693281,ORG,the High Court
693281,LAW,Article 226
693281,ORG,Court
693281,ORG,the High Court
693281,LAW,Article 226
693281,ORG,the High Court
693281,LAW,"the Writ
Petition"
