tid,label,token
962370,ORG,Supreme Court of India
962370,ORG,Weston Components Ltd
962370,ORG,Customs
962370,DATE,"4 January, 2000"
962370,PERSON,B.N. Kirpal
962370,PERSON,S. Rajendra Babu
962370,CARDINAL,7144
962370,DATE,1999
962370,ORG,WESTON COMPONENTS LTD
962370,CARDINAL,04/01/2000
962370,DATE,2000
962370,CARDINAL,1
962370,CARDINAL,26
962370,ORG,Order of the Court
