tid,label,token
119316583,PERSON,Sandeep Kumar Mishra
119316583,ORG,B.S.N.L. & Another
119316583,DATE,"16 July, 2015"
119316583,DATE,2011
119316583,PERSON,S.K. Mandal
119316583,PERSON,Anjali Bhargava
119316583,ORG,Advocate for the B.S.N.L
119316583,PERSON,Anjali Bhargava
119316583,ORG,the B.S.N.L
119316583,ORG,"the Central
Administrative Tribunal"
119316583,CARDINAL,21.07.2015
119316583,PERSON,Anjali Bhargava
119316583,ORG,B.S.N.L
119316583,CARDINAL,16.07.2015
