tid,label,token
1019490,ORG,Allahabad High Court
1019490,PERSON,Harihar Pandey
1019490,PERSON,Mangala Prasad Singh And Ors.
1019490,DATE,"24 May, 1985"
1019490,DATE,1986
1019490,CARDINAL,9
1019490,PERSON,N Mithal
1019490,PERSON,N Mithal
1019490,GPE,N.N. Mithal
1019490,GPE,J
1019490,CARDINAL,1\
1019490,ORDINAL,second
1019490,LAW,"Section 47
C.P.C."
1019490,CARDINAL,2\
1019490,ORDINAL,first
1019490,DATE,two months
1019490,CARDINAL,three
1019490,PERSON,Ka
1019490,PERSON,Kha
1019490,PERSON,Dalan
1019490,LOC,East
1019490,LOC,North-Eastern
1019490,LOC,Dalan
1019490,CARDINAL,8
1019490,LOC,West
1019490,PERSON,Dalan
1019490,DATE,two months
1019490,CARDINAL,8
1019490,PERSON,Rasta
1019490,CARDINAL,3\
1019490,DATE,nearly ten years
1019490,GPE,Ghoor
1019490,PERSON,Nand
1019490,CARDINAL,4
1019490,CARDINAL,5
1019490,PERSON,Amar Singh
1019490,ORG,Evacuee Property
1019490,ORG,Punjab AIR
1019490,DATE,1957
1019490,PRODUCT,SC 599
1019490,LAW,Section 11 C.P.C.
1019490,ORG,the Supreme Court
1019490,CARDINAL,6
1019490,ORG,"the Calcutta High
Court"
1019490,PERSON,Chandra Naskar
1019490,PERSON,Narendra Nath Bose
1019490,DATE,AIR 1934
1019490,FAC,Cal 402
1019490,CARDINAL,32
1019490,CARDINAL,eight
1019490,DATE,only eight Later
1019490,CARDINAL,no more than eight
1019490,CARDINAL,7\
1019490,DATE,AIR 1934
1019490,LAW,Cal 402 case (supra)
1019490,CARDINAL,8\
1019490,CARDINAL,10\
1019490,PERSON,Kha
1019490,LAW,Rule 32 of Order 21 C.P.C
1019490,LAW,Order 21 Rule 32 C.P.C
1019490,CARDINAL,11
1019490,DATE,only three years
1019490,LAW,"Art 135 of the
Limitation Act"
1019490,DATE,1963
1019490,DATE,12 years
1019490,CARDINAL,two
1019490,CARDINAL,12
1019490,CARDINAL,13\
1019490,LAW,Rule 32
1019490,CARDINAL,1
1019490,CARDINAL,3
1019490,LAW,Rule 32(5
1019490,GPE,Calcutta
1019490,LAW,AIR 1934 Cal 402) (supra)
1019490,CARDINAL,3
1019490,LAW,Sub-section (5)
1019490,PERSON,J.D.
1019490,DATE,yesterday
1019490,DATE,today
1019490,CARDINAL,14
1019490,ORG,The Calcutta High Court
1019490,GPE,Sachi Pd.
1019490,PERSON,Amar Nath Rai Chowdhary
1019490,DATE,1919
1019490,ORG,Cal 674
1019490,GPE,Allahabad
1019490,GPE,Gordhan Lalji
1019490,PERSON,"Maksoodan
Ballabh"
1019490,DATE,1918
1019490,CARDINAL,152
1019490,PERSON,Shingar
1019490,PERSON,Arti
1019490,LAW,Sub-rule (5)
1019490,CARDINAL,15
1019490,LAW,Rule 32 of Order 21 of the Code
1019490,CARDINAL,5
1019490,CARDINAL,32
1019490,LAW,Sub-rule (1)
1019490,LAW,Sub-rule (2
1019490,DATE,six months
1019490,DATE,"six
months"
1019490,ORG,Court
1019490,CARDINAL,16
1019490,LAW,Rule 32
1019490,CARDINAL,1
1019490,CARDINAL,2 and 3
1019490,CARDINAL,17
1019490,LAW,Sub-rule (1)
1019490,CARDINAL,2
1019490,LAW,Sub-rule (5)
1019490,CARDINAL,18\
1019490,LAW,Sub-rule (5
1019490,CARDINAL,19
1019490,LAW,"Section 3(2) of the
General Clauses"
1019490,PERSON,Nand
1019490,PERSON,Ghoor
1019490,CARDINAL,two
1019490,LAW,Sub-rules (1)
1019490,CARDINAL,3
1019490,LAW,Sub-rule (5)
1019490,LAW,"Order XXI Rule 32
C.P.C."
1019490,LAW,Sub-rule (5) thereof
1019490,LAW,Sub-rule (5
1019490,ORDINAL,first
1019490,CARDINAL,1
1019490,CARDINAL,2
1019490,CARDINAL,20\
1019490,LAW,Sub-rules (1
1019490,CARDINAL,3
1019490,LAW,Sub-rule (5)
1019490,PERSON,Ghoor
1019490,PERSON,Nand
1019490,DATE,the J. D.
1019490,CARDINAL,21
1019490,ORDINAL,first
1019490,WORK_OF_ART,D.H.
1019490,DATE,ten long years
1019490,PERSON,J.D.
1019490,PERSON,"Abdul Latif
Nomani"
1019490,GPE,Gorakhpur
1019490,DATE,1968
1019490,CARDINAL,44
1019490,GPE,Tapesra
1019490,DATE,1985
1019490,CARDINAL,26
1019490,LAW,Rule 32
1019490,CARDINAL,22
1019490,LAW,"Sub-rule (5) of Rule 32 of Order XXI of the
Code"
1019490,CARDINAL,23\
1019490,CARDINAL,two
1019490,CARDINAL,1\
1019490,LAW,Clause 'Ga'
1019490,PERSON,J.D
1019490,CARDINAL,2\
1019490,PERSON,J.D
1019490,DATE,three months
1019490,DATE,two weeks
