tid,label,token
1033812,ORG,Supreme Court of India
1033812,ORG,Southern Switch Gear Ltd.
1033812,DATE,"11 December, 1997"
1033812,DATE,1998
1033812,DATE,2000) 10
1033812,PERSON,S Sen
1033812,PERSON,S Quadri
1033812,PERSON,Suhas Chandra Sen
1033812,CARDINAL,1\
1033812,ORG,the High Court
1033812,ORG,the High Court
