tid,label,token
1261492,ORG,Supreme Court of India
1261492,PERSON,Kumari Shrilekha Vidyarthi Etc.
1261492,WORK_OF_ART,State Of U.P. And Ors
1261492,DATE,"20 September,
1990"
1261492,DATE,1991
1261492,CARDINAL,537
1261492,DATE,1990
1261492,CARDINAL,1
1261492,CARDINAL,625
1261492,PERSON,J S Verma
1261492,PERSON,Verma
1261492,PERSON,Jagdish Saran
1261492,ORG,KUMARI
1261492,ORG,VERMA
1261492,GPE,JAGDISH SARAN
1261492,GPE,VERMA
1261492,GPE,JAGDISH SARAN
1261492,GPE,SAHAI
1261492,GPE,R.M.
1261492,DATE,1991
1261492,DATE,1990
1261492,CARDINAL,212
1261492,DATE,"4)	211
     1990"
1261492,CARDINAL,2)561
1261492,DATE,1991
1261492,CARDINAL,6
1261492,LAW,"ACT:
        Constitution"
1261492,GPE,India
1261492,DATE,1950
1261492,CARDINAL,14
1261492,LAW,"Arbitrariness very	negation  of
    rule  of law--Contractual"
1261492,ORG,"the  State
    of U.P"
1261492,CARDINAL,6.2.1990
1261492,ORG,State
1261492,ORG,Government Counsel
1261492,CARDINAL,28.2
1261492,DATE,1990
1261492,ORG,Government
1261492,ORG,State
1261492,ORG,the High Court
1261492,ORG,Court
1261492,ORG,Government
1261492,ORG,Government
1261492,CARDINAL,one
1261492,ORG,a Government Counsel
1261492,ORG,State
1261492,ORG,"Government
    Counsel"
1261492,LAW,"the  Legal
    Remembrancer's Manual"
1261492,LAW,"Section 24 of the Code of Criminal
    Procedure"
1261492,ORG,"a	District  Government
    Counsel"
1261492,ORG,Government
1261492,ORG,Government
1261492,CARDINAL,626
1261492,ORG,Court
1261492,CARDINAL,1
1261492,LAW,"the  Legal  Remembrancer's
    Manual"
1261492,ORG,the Government  Counsel
1261492,ORG,State
1261492,ORG,"District
    Government  Counsel"
1261492,CARDINAL,2
1261492,LAW,Clause	 3  of para 7.06 of the	 L.R.  Manual
1261492,ORG,Government
1261492,LAW,"the  non-communica-
    tion"
1261492,ORG,Liberty	 Oil  Mills  v. Union of India
1261492,DATE,1984
1261492,CARDINAL,3
1261492,CARDINAL,465
1261492,CARDINAL,5
1261492,LAW,"the Code of Crimi-
    nal  Procedure"
1261492,DATE,1969
1261492,CARDINAL,2
1261492,CARDINAL,422
1261492,WORK_OF_ART,"Mundrika Prasad
    Sinha v. State of Bihar"
1261492,DATE,1980
1261492,CARDINAL,1
1261492,CARDINAL,759
1261492,PERSON,Mukul Dalaiand
1261492,ORG,Union of India
1261492,DATE,1988
1261492,CARDINAL,3
1261492,CARDINAL,144
1261492,ORG,Malloch	 v.  Aberdeen  Corporation
1261492,DATE,1971
1261492,CARDINAL,2
1261492,CARDINAL,1278
1261492,CARDINAL,6
1261492,ORG,District Government Counsel
1261492,LAW,Article 14 of the Constitution
1261492,LAW,"the  ques-
    tion"
1261492,CARDINAL,7
1261492,LAW,Article 14
1261492,LAW,Article  14
1261492,ORG,State
1261492,CARDINAL,9
1261492,ORG,State
1261492,LAW,Article 14
1261492,LAW,Article 14
1261492,CARDINAL,10
1261492,LAW,Article 14
1261492,ORG,State
1261492,LAW,Article 14
1261492,CARDINAL,628
1261492,CARDINAL,12
1261492,ORG,Jones v. Swansea City Counsel
1261492,DATE,1990
1261492,DATE,1 W.L.R. 54
1261492,CARDINAL,13
1261492,LAW,Article 14 of the Constitution of India
1261492,ORG,Government
1261492,PERSON,Ramana  Dayaram  Shetty
1261492,ORG,"The  International  Airport
    Authority  of India"
1261492,DATE,1979
1261492,DATE,3 SCR 1014
1261492,WORK_OF_ART,"Kasturi Lal  Lakshmi
    Reddy"
1261492,GPE,Jammu
1261492,GPE,Kashmir
1261492,DATE,1980
1261492,CARDINAL,3
1261492,CARDINAL,1338
1261492,ORG,A.S. Sangwan v. Union of India
1261492,DATE,1980
1261492,CARDINAL,559
1261492,CARDINAL,14
1261492,LAW,Article 14
1261492,ORG,State
1261492,ORG,State
1261492,ORG,State
1261492,PERSON,M/s Dwarkadas Marlaria
1261492,ORG,Sons v. Board of Trustees
1261492,ORG,the Port of Bombay
1261492,DATE,1989
1261492,CARDINAL,3
1261492,CARDINAL,293
1261492,ORG,Mahabir Auto Stores
1261492,ORG,State
1261492,LAW,Article 14
1261492,ORG,State
1261492,CARDINAL,16
1261492,CARDINAL,629
1261492,ORG,Council of Civil Service Union
1261492,ORG,the Civil Service
1261492,DATE,1984
1261492,CARDINAL,3
1261492,CARDINAL,935
1261492,ORG,State
1261492,CARDINAL,18
1261492,ORG,the Government Counsel
1261492,ORG,the State of U.P
1261492,ORG,State
1261492,ORG,S.G. Jaisinghani v. Union of India
1261492,DATE,1967
1261492,CARDINAL,2
1261492,CARDINAL,703
1261492,CARDINAL,20
1261492,ORG,the State of U.P.
1261492,ORG,State
1261492,ORG,State.
1261492,ORG,State
1261492,PERSON,John Wilkes's
1261492,DATE,1770
1261492,CARDINAL,4
1261492,CARDINAL,2528
1261492,CARDINAL,22
1261492,GPE,"the
State of Uttar Pradesh"
1261492,CARDINAL,630
1261492,LAW,Constitution
1261492,ORG,the State of U.P.
1261492,LAW,Writ Petition No. 706
1261492,DATE,1990
1261492,LAW,"Article 32 of
the Constitution of India"
1261492,PERSON,L.M. Singhvi
1261492,PERSON,Y.S. Chitale
1261492,PERSON,R.K. Garg
1261492,PERSON,R.N. Trivedi
1261492,PERSON,Addl
1261492,ORG,the State of U.P
1261492,PERSON,"Swaran
Mahajan"
1261492,PERSON,Geetanjali Mohan
1261492,PERSON,Anuradha Mahajan
1261492,PERSON,Sunil Gupta
1261492,PERSON,"R.
Venkataramani"
1261492,PERSON,S.M. Garg
1261492,PERSON,Suresh Harkauli
1261492,PERSON,Sushil Harkauli
1261492,PERSON,Sunil Gupta
1261492,PERSON,"A.S.
Pundir"
1261492,PERSON,Suresh Kumar Misra
1261492,PERSON,Mahesh Shrivastava
1261492,PERSON,H.D. Pathak
1261492,PERSON,Vishnu Mathur
1261492,PERSON,Shobha Dikshit
1261492,LAW,The Judgment of the Court
1261492,PERSON,VERMA
1261492,PERSON,J.
1261492,LAW,Article 32 of the Constitution of India
1261492,LAW,Article 136 of the Constitution of India
1261492,ORG,the Allahabad High Court
1261492,ORG,the High Court
1261492,ORG,Court
1261492,CARDINAL,one
1261492,ORG,the Spoils System
