Gamma,AUC
1.5,0.606578512
1.9,0.607589421
1.4,0.609562314
1.7,0.611672066
2,0.614069421
1.2,0.614976529
1.8,0.616447603
1.6,0.621066446
1.1,0.621136529
1.3,0.623675372
