Iteration,AUC
1.0,0.6314380165289255
2.0,0.5540495867768596
3.0,0.5972694214876033
4.0,0.6073785123966942
5.0,0.6019900826446282
6.0,0.6533289256198348
7.0,0.6087404958677686
8.0,0.5989289256198347
9.0,0.6219570247933885
10.0,0.602512396694215
11.0,0.6308429752066116
12.0,0.5967206611570248
13.0,0.5921256198347107
14.0,0.6121785123966943
15.0,0.6016727272727272
16.0,0.6101223140495868
17.0,0.6429289256198346
18.0,0.6082710743801653
19.0,0.6068099173553719
20.0,0.6399603305785123
21.0,0.5593123966942148
22.0,0.5796760330578512
23.0,0.5609388429752067
24.0,0.6081454545454547
25.0,0.5912595041322313
26.0,0.5837818181818182
27.0,0.6044826446280991
28.0,0.6410710743801652
29.0,0.6391206611570247
30.0,0.6038347107438016
31.0,0.5963768595041322
32.0,0.5990876033057851
33.0,0.6269752066115701
34.0,0.6162644628099173
35.0,0.6354644628099175
36.0,0.6164363636363637
37.0,0.5815537190082645
38.0,0.6109752066115703
39.0,0.5919537190082644
40.0,0.6167933884297521
41.0,0.6194644628099174
42.0,0.606889256198347
43.0,0.6486347107438015
44.0,0.6284561983471074
45.0,0.6112
46.0,0.5713652892561983
47.0,0.5963570247933884
48.0,0.6303008264462809
49.0,0.5770115702479338
50.0,0.6817983471074379
