Gamma,AUC
1.6,0.609220826
1.5,0.611596694
1.8,0.611689587
1.3,0.612274711
1.7,0.61313719
1.1,0.6138
1.2,0.615804628
2,0.616026777
1.9,0.617173554
1.4,0.618650579
