Iteration,AUC
1,0.5872
2,0.576542149
3,0.575021488
4,0.590181818
5,0.583464463
6,0.592390083
7,0.56458843
8,0.577209917
9,0.577375207
10,0.543755372
11,0.645917355
12,0.5616
13,0.611378512
14,0.543391736
15,0.612264463
16,0.609593388
17,0.604390083
18,0.577216529
19,0.565871074
20,0.580654545
21,0.622181818
22,0.593157025
23,0.60071405
24,0.576244628
25,0.587319008
26,0.602717355
27,0.582128926
28,0.593963636
29,0.537666116
30,0.595894215
31,0.557838017
32,0.612257851
33,0.611953719
34,0.629824793
35,0.620370248
36,0.603570248
37,0.613500826
38,0.589917355
39,0.587821488
40,0.589659504
41,0.636654545
42,0.60101157
43,0.574115702
44,0.544469421
45,0.588323967
46,0.592793388
47,0.551279339
48,0.580304132
49,0.574419835
50,0.571887603
AVG,0.588079339
