Gamma,AUC
1.1,0.6248941046831956
1.2,0.6156365840220384
1.3,0.6169379614325069
1.4,0.6155693663911845
1.5,0.6151795041322313
1.6,0.6179590082644627
1.7,0.6168163085399451
1.8,0.6202201652892563
1.9,0.6153399449035812
2.0,0.6064182920110193
