Gamma,AUC
1.3,0.581274711
1.4,0.583265455
1.9,0.591299174
1.1,0.59357686
1.6,0.59373686
1.2,0.595241653
1.8,0.597500165
1.7,0.597974876
2,0.598486612
1.5,0.608768264
