Iteration,AUC
1.0,0.6004297520661157
2.0,0.5939173553719008
3.0,0.6490380165289256
4.0,0.6395438016528926
5.0,0.6593123966942149
6.0,0.6345652892561984
7.0,0.6143206611570249
8.0,0.622393388429752
9.0,0.6438876033057852
10.0,0.6465123966942149
11.0,0.6036363636363636
12.0,0.6086743801652892
13.0,0.6197487603305784
14.0,0.6121190082644627
15.0,0.5775537190082645
16.0,0.6133157024793389
17.0,0.5883438016528926
18.0,0.628998347107438
19.0,0.6360528925619835
20.0,0.5727272727272728
21.0,0.6339239669421488
22.0,0.6280661157024794
23.0,0.5995173553719008
24.0,0.6336066115702479
25.0,0.628601652892562
26.0,0.6123107438016528
27.0,0.6314512396694214
28.0,0.630393388429752
29.0,0.6376462809917355
30.0,0.5899834710743801
31.0,0.619504132231405
32.0,0.6296991735537191
33.0,0.6448264462809917
34.0,0.6196892561983471
35.0,0.6030876033057851
36.0,0.6140231404958678
37.0,0.6482512396694216
38.0,0.6323966942148759
39.0,0.6267702479338843
40.0,0.5996760330578513
41.0,0.6150611570247934
42.0,0.5547305785123967
43.0,0.5881256198347108
44.0,0.6331702479338843
45.0,0.5976330578512397
46.0,0.618902479338843
47.0,0.5905652892561982
48.0,0.6078809917355372
49.0,0.5906644628099174
50.0,0.6410115702479338
