tid,label,token
615459,ORG,Delhi High Court
615459,ORG,S.B.L. Ltd.
615459,ORG,Himalaya Drug Co.
615459,DATE,"15 July, 1997"
615459,DATE,1997
615459,CARDINAL,757
615459,DATE,"1998 Delhi 126, 1997"
615459,GPE,Delhi
615459,CARDINAL,67
615459,CARDINAL,803
615459,PERSON,R Lahoti
615459,PERSON,R Lahoti
615459,PERSON,S Kapoor
615459,PERSON,R.C. Lahoti
615459,CARDINAL,1
615459,DATE,12-7-1996
615459,ORG,Court
615459,LAW,(Original Side
615459,DATE,23-5-1996
615459,CARDINAL,2
615459,ORG,Himalaya Drug Co.
615459,NORP,Ayurvedic
615459,DATE,1930
615459,CARDINAL,One
615459,PRODUCT,Liv-52
615459,CARDINAL,52
615459,DATE,10-7-1957
615459,CARDINAL,5
615459,PRODUCT,Liv. 52
615459,PRODUCT,Class 5
615459,DATE,15-2-1987
615459,CARDINAL,3
615459,PRODUCT,LIV-T
615459,ORG,Homoeopathic
615459,CARDINAL,4
615459,DATE,Liv. 52
615459,DATE,1996
615459,ORG,LIV-T
615459,CARDINAL,52
615459,CARDINAL,5
615459,ORG,Homoeopathic
615459,NORP,Ayurvedic
615459,ORG,"BIRON
Lab"
615459,GPE,France
615459,PRODUCT,LIV-T
615459,DATE,the year 1987
615459,PRODUCT,LIV-T
615459,DATE,"April, 1988"
615459,CARDINAL,490010
615459,ORG,Registrar of the Trade Marks
615459,DATE,1989
615459,CARDINAL,"96,843"
615459,DATE,the year 1988-89
615459,CARDINAL,"Rs.
46,68,614"
615459,DATE,1995-96
615459,CARDINAL,5.1
615459,PERSON,Liv
615459,ORG,Liv-T
615459,PERSON,Liv-52
615459,CARDINAL,5.2
615459,ORG,Chartered Accountant
615459,DATE,31-5-1996
615459,CARDINAL,hundreds
615459,CARDINAL,one
615459,CARDINAL,5.3
615459,LAW,Order 39 Rule 3
615459,ORG,CPC
615459,CARDINAL,6
615459,CARDINAL,7
615459,LAW,Order 39 Rule 3
615459,CARDINAL,8
615459,CARDINAL,9
615459,ORDINAL,First
615459,LAW,"the Trade and Merchandise Marks
Act"
615459,DATE,1958
615459,LAW,Section 2
615459,CARDINAL,2
615459,CARDINAL,11
615459,LAW,Section 29
615459,LAW,the Common Law
615459,LAW,"Section
27)"
615459,CARDINAL,10
615459,ORG,"Kaviraj Pandit Durga Dutt Sharma v. Navaratna Pharmaceutical
Laboratories"
615459,ORG,Lordships
615459,ORG,Lordships
615459,ORG,Courts
615459,CARDINAL,1
615459,CARDINAL,two
615459,CARDINAL,2
615459,CARDINAL,two
615459,CARDINAL,4
615459,CARDINAL,two
615459,CARDINAL,5
615459,CARDINAL,6
615459,ORG,Court
615459,CARDINAL,11
615459,ORG,Ruston & Hornby Ltd.
615459,ORG,"Zamindara
Engineering Co."
615459,ORG,Register
615459,ORDINAL,second
615459,CARDINAL,12
615459,ORG,Parle Products (P.) Ltd.
615459,ORG,J.P. & Co. Mysore
615459,CARDINAL,two
615459,CARDINAL,One
615459,CARDINAL,two
615459,ORG,Lordships
615459,ORG,a Sherlock Homes
615459,ORG,Karly's Law of Trade Marks and Trade Names
615459,ORDINAL,9th
615459,CARDINAL,838
615459,CARDINAL,Two
615459,CARDINAL,one
615459,CARDINAL,two
615459,ORDINAL,second
615459,PERSON,Marks
615459,CARDINAL,13
615459,ORG,Lordships
615459,ORG,"National Bell Co. & Gupta Industrial Corporation v. Metal Goods
Mfg. Co."
615459,ORG,P.) Ltd.
615459,DATE,1971
615459,PRODUCT,SC 898
615459,ORG,Lordships
615459,CARDINAL,14
615459,PERSON,Mc. Carthy
615459,ORDINAL,Third
615459,CARDINAL,2
615459,CARDINAL,only one
615459,CARDINAL,12.01
615459,CARDINAL,1
615459,CARDINAL,12.12
615459,CARDINAL,2
615459,CARDINAL,15
615459,ORG,Court
615459,PERSON,"Kaviraj
Pandit Durga Dut Sharma's"
615459,ORG,"the Supreme
Court of judicature in Electrolux Ltd. v. Electric Ltd."
615459,DATE,"1954) 71
RPC 23"
615459,ORG,House of Lords
615459,ORG,GE Trade Marks
615459,DATE,1973
615459,CARDINAL,297
615459,ORG,National Carbon Co. (Inc.
615459,ORG,Sei Sin & Co.
615459,DATE,AIR 1939
615459,DATE,Rangoon 113
615459,CARDINAL,15.1
615459,ORG,GE Trade Mark
615459,PERSON,Diploc
615459,CARDINAL,15.2
615459,ORG,National Carbon Co's
615459,PERSON,Baguley J.
615459,CARDINAL,16
615459,GPE,Halsbury
615459,ORDINAL,4th
615459,DATE,48 para 163
615459,CARDINAL,163
615459,CARDINAL,two
615459,CARDINAL,2
615459,CARDINAL,two
615459,CARDINAL,two
615459,CARDINAL,two
615459,CARDINAL,17
615459,PERSON,Kerly
615459,ORG,Law of Trade Marks and Trade Names
615459,ORDINAL,12th
615459,CARDINAL,16-72
615459,CARDINAL,407
615459,ORG,Court
615459,ORG,Court
615459,ORG,Court
615459,CARDINAL,18
615459,CARDINAL,19
615459,CARDINAL,two
615459,CARDINAL,19.1
615459,ORDINAL,Firstly
615459,WORK_OF_ART,LIV
615459,CARDINAL,over 100
615459,ORG,Ayurvedic
615459,CARDINAL,19.2
615459,ORDINAL,Secondly
615459,CARDINAL,one
615459,CARDINAL,two
615459,LAW,"the Drugs and Cosmetics Rules
1945"
615459,LAW,the Drugs and Cosmetics Act
615459,DATE,1940
615459,LAW,Rule 67C
615459,CARDINAL,One
615459,LAW,Clause (2) of Rule 67G
615459,CARDINAL,19.3
615459,CARDINAL,20
615459,CARDINAL,1
615459,CARDINAL,21
615459,CARDINAL,one
615459,CARDINAL,one
615459,ORDINAL,4th
615459,CARDINAL,14.2
615459,CARDINAL,22
615459,ORDINAL,first
615459,CARDINAL,22.1
615459,ORG,Corn Products Refining Co.
615459,ORG,Shangrila Food Products Ltd.
615459,ORG,Lordships
615459,ORG,Harrod
615459,CARDINAL,1935
615459,CARDINAL,52
615459,CARDINAL,65
615459,CARDINAL,two
615459,CARDINAL,two
615459,GPE,India
615459,DATE,1994) 3
615459,CARDINAL,215
615459,CARDINAL,2
615459,CARDINAL,274
615459,ORG,MICROTEL
615459,ORG,MICRONIX
615459,CARDINAL,two
615459,ORG,Lordships
615459,ORDINAL,Secondly
615459,CARDINAL,two
615459,ORDINAL,first
615459,CARDINAL,two
615459,CARDINAL,22.3
615459,ORG,the Coca-Cola Co. of Canada Ltd.
615459,ORG,Pepsi-Cola Canada Ltd.
615459,DATE,"1942)
LIX"
615459,CARDINAL,127
