tid,label,token
371933,organization,SINHA
371933,organization,High Court of Judicature
371933,organization,Bank
371933,organization,State Bank of India
371933,organization,Executing Court
371933,organization,High Court
371933,organization,High Court of Patna
371933,organization,Civil Review
371933,organization,LSB
371933,organization,Slim
371933,organization,Derry
371933,organization,Court of Appeal
371933,organization,SCC
371933,organization,Satyam Fibres
371933,organization,Indian Bank
371933,organization,Lazarus Estates
371933,organization,CPC
371933,organization,Durgapore Project Limited
371933,organization,Registrar of Newspapers
371933,organization,State Government
371933,organization,New Delhi Municipal Committees
371933,organization,Petitioner
371933,organization,Court
371933,organization,supreme court of india
371933,organization,cr
371933,organization,the high court of judicature
371933,organization,state bank of india
371933,organization,bank
371933,organization,division bench
371933,organization,the executing court
371933,organization,the high court
371933,organization,court
371933,organization,petitioner
371933,organization,plaintiff
371933,organization,civil review
371933,organization,the high court of patna
371933,organization,u.p. board of high school & intermediate education & ors.
371933,organization,the court of appeal
371933,organization,scc 1 this court
371933,organization,arlidge & parry on fraud
371933,organization,m/s. shaw brothers
371933,organization,sc
371933,organization,indian bank
371933,organization,satyam fibres india pvt. ltd
371933,organization,lazarus estates
371933,organization,courts
371933,organization,cpc
371933,organization,durgapore project limited & ors.
371933,organization,the first appeal
371933,organization,the review application
371933,organization,the registrar of newspapers
371933,organization,the state government
371933,organization,narasingrao krishnaji kulkarni & ors.
371933,organization,new delhi municipal committees
371933,location,SINHA
371933,location,Misc
371933,location,Takhta
371933,location,Patna
371933,location,Derry
371933,location,grave
371933,location,New Delhi
371933,location,India
371933,location,patna
371933,location,india
371933,location,manohar
371933,location,sharda
371933,location,dharmpal
371933,location,new delhi
371933,city,Patna
371933,city,Derry
371933,city,grave
371933,city,New Delhi
371933,country,India
371933,person,ram chandra singh
371933,person,savitri devi and ors
371933,person,v.n. khare cj
371933,person,s.b. sinha
371933,person,arun prakash pandey
371933,person,the takhta of arun prakash pandey
371933,person,ugam prakash pandey
371933,person,ugam pandey
371933,person,smt. savitri devi
371933,person,uttam pandey
371933,person,g.c. bharuka
371933,person,ram lal roy
371933,person,roy
371933,person,slim
371933,person,croucher
371933,person,jessel
371933,person,m.r.
371933,person,derry
371933,person,herschell
371933,person,ram preeti yadav
371933,person,berly
371933,person,jones
371933,person,shrisht dhawan
371933,person,chengalvaraya naidu
371933,person,jagannath
371933,person,chittaranjan das
371933,person,lal chopra
371933,person,rai bahadur
371933,person,rao raja seth hiralal
371933,person,bench
371933,person,dwarka prasad agarwal
371933,person,rajesh d. darbar
371933,person,raj kumar dey
371933,person,tarapada dey
371933,person,gursharan singh
371933,person,mohammed gazi
371933,law,civil review no. 245
371933,law,section 47 of the code of civil procedure
371933,law,a revision petition application
371933,law,revision petition no. 1700
371933,law,a special leave petition
371933,law,slpc no. 8119/92
371933,law,special leave petition
371933,law,partition suit no. 17/1976
371933,law,the hindu succession act
371933,law,s.l.p. civil no. 6535
371933,law,no. 245 of 1998
371933,law,first appeal no 450
371933,law,s.l.p. civil no. 20273
371933,law,first appeal no. 450
371933,law,the first appeal
371933,law,the special leave petition
371933,law,first appeal
371933,law,s.p. chengalvaraya naidu vs. jagannath
371933,law,the theft act
371933,law,section 151
371933,law,order xxvi
371933,law,rules 13 and 142 and order xx rule 18
371933,law,sc 527
371933,law,the code of civil procedure
371933,law,code
371933,law,section 151 of code of civil procedure
371933,law,civil review no. 245/1998
