tid,label,token
1718159,location,Andhra Pradesh
1718159,location,Nellore District
1718159,location,Nellore
1718159,location,CC No
1718159,location,Prickly Pier Jungle
1718159,location,Canal
1718159,location,Thikavatapadu
1718159,location,Canal Scheme
1718159,location,Sh
1718159,location,South Mopur
1718159,location,Gandhiupalem
1718159,location,Para
1718159,location,Juliflora Jungle
1718159,location,Kovur Taluk
1718159,location,North Mopur
1718159,location,North-Mopur
1718159,location,Juliflora
1718159,location,NELLORE
1718159,location,Krakatur
1718159,location,Kodavalur
1718159,location,Rajapulan
1718159,location,Julifiora
1718159,location,India
1718159,location,Kanpur
1718159,location,Goa
1718159,location,Kovur
1718159,location,grave
1718159,location,andhra pradesh
1718159,location,nellore district
1718159,location,nellore
1718159,location,thikavatapadu
1718159,location,prickly pier
1718159,location,south mopur
1718159,location,kanpur
1718159,location,goa
1718159,location,daman
1718159,location,diu
1718159,location,north mopur
1718159,location,kovur taluk nellore district
1718159,location,r.i.
1718159,location,kovur taluk
1718159,location,kovur
1718159,location,juliflora
1718159,location,krakatur
1718159,location,n.v.m
1718159,location,kodavalur
1718159,location,darsi
1718159,location,rajapulan
1718159,location,karratumma
1718159,location,julifiora
1718159,location,nellore north
1718159,organization,Nellore South Division
1718159,organization,Nellore North Division
1718159,organization,Gandipalem Project Division
1718159,organization,Andhra Pradesh Legislative Assembly
1718159,organization,Irrigation Department
1718159,organization,Government of Andhra Pradesh
1718159,organization,Power Department
1718159,organization,ACB
1718159,organization,Corruption Bureau
1718159,organization,High Court
1718159,organization,Special Court
1718159,organization,Learned
1718159,organization,Nellore Irrigation Circle
1718159,organization,State Exchequer
1718159,organization,State Assembly
1718159,organization,Executive Engineer
1718159,organization,Ambapuram Branch Channel
1718159,organization,The
1718159,organization,Department of Govt
1718159,organization,Kanpur Canal PW
1718159,organization,Executive Engineers
1718159,organization,A-l
1718159,organization,FW
1718159,organization,SCC
1718159,organization,State
1718159,organization,LSB
1718159,organization,Alluru Section
1718159,organization,IPC
1718159,organization,JPC
1718159,organization,The High Court
1718159,organization,Time
1718159,organization,Command Area Development Government
1718159,organization,Board of Chief Engineers
1718159,organization,Division of Nellore District
1718159,organization,Gandipalem Project
1718159,organization,House
1718159,organization,Chief Engineer Irrigation Department
1718159,organization,Krakatur Small Tank
1718159,organization,Department of Government
1718159,organization,Gandipalem Division
1718159,organization,PW
1718159,organization,Irrigation North Division
1718159,organization,Kodavalur Tank Channel
1718159,organization,Kodavalur Tank Supply Channel
1718159,organization,Karratumma
1718159,organization,PWD
1718159,organization,Legislative Assembly
1718159,organization,Court
1718159,organization,supreme court of india
1718159,organization,g.n. ray & dr
1718159,organization,executive engineers
1718159,organization,deputy executive engineers
1718159,organization,section officers
1718159,organization,nellore north division
1718159,organization,nellore south division
1718159,organization,gandipalem project division
1718159,organization,the andhra pradesh legislative assembly
1718159,organization,the call attention motion
1718159,organization,government
1718159,organization,engineers
1718159,organization,irrigation department of the government of andhra pradesh
1718159,organization,chief technical examiner
1718159,organization,the government of andhra pradesh
1718159,organization,g.o.
1718159,organization,no. 313 irrigation and power department
1718159,organization,divisions
1718159,organization,assembly
1718159,organization,the and corruption bureau
1718159,organization,acb
1718159,organization,the director anti corruption bureau
1718159,organization,inspector of police acb
1718159,organization,the high court
1718159,organization,court
1718159,organization,the special court
1718159,organization,cc no
1718159,organization,cc
1718159,organization,contractors
1718159,organization,irrigation circle
1718159,organization,nellore
1718159,organization,special investigation division
1718159,organization,different executive engineers
1718159,organization,assistant executive engineers
1718159,organization,sec-lion officers
1718159,organization,nellore irrigation circle
1718159,organization,the nellore north division
1718159,organization,the nellore south division
1718159,organization,the gandipalem project division
1718159,organization,the executive engineers
1718159,organization,the state exchequer
1718159,organization,the legislative assembly
1718159,organization,pw shri krishna
1718159,organization,al and a2
1718159,organization,a3
1718159,organization,a4
1718159,organization,assistant engineers
1718159,organization,a5
1718159,organization,superintending engineer
1718159,organization,the state assembly
1718159,organization,the executive engineer gandipalem project division
1718159,organization,ambapuram branch channel
1718159,organization,the kanpur canal scheme
1718159,organization,gandipalem divisions
1718159,organization,krishna chief engineer investigation pw
1718159,organization,superintending engineer of nellore
1718159,organization,the govt. of a.p.
1718159,organization,gandhiupalem
1718159,organization,p.w.d. department of govt. of a.p.
1718159,organization,a.p.
1718159,organization,govt.
1718159,organization,a-5
1718159,organization,pw 7
1718159,organization,pw 11
1718159,organization,executive engineer
1718159,organization,the section officers
1718159,organization,pw 12
1718159,organization,ex. p 4
1718159,organization,p6
1718159,organization,the superintending engineer
1718159,organization,the chief engineer
1718159,organization,the executive engineer
1718159,organization,tr & b
1718159,organization,an executive engineer
1718159,organization,a-l
1718159,organization,the assistant engineers
1718159,organization,fw 12
1718159,organization,pw 12 inter alia
1718159,organization,the irrigation department
1718159,organization,pw 19
1718159,organization,fir
1718159,organization,state
1718159,organization,stale
1718159,organization,the gandhipalem project division
1718159,organization,criminal appeal nos
1718159,organization,section officer
1718159,organization,juliflora jungle
1718159,organization,clearing
1718159,organization,the govt of a.p.
1718159,organization,alluru section
1718159,organization,p.w. department of the govt. of a.p.
1718159,organization,ipc
1718159,organization,ri
1718159,organization,12gb ipc
1718159,organization,al to a4
1718159,organization,ai
1718159,organization,al to a3
1718159,organization,govern-ment
1718159,organization,p7
1718159,organization,p8
1718159,organization,p4
1718159,organization,reliance
1718159,organization,pw b
1718159,organization,a2
1718159,organization,a1
1718159,organization,ex. p3
1718159,organization,pw 5
1718159,organization,fw 5
1718159,organization,pw 17 assistant engineer
1718159,organization,ex
1718159,organization,p10
1718159,organization,pw 8
1718159,organization,ex. p10
1718159,organization,ex. p1
1718159,organization,command area development government of a.p. pw 10
1718159,organization,go
1718159,organization,the board of chief engineers
1718159,organization,pw 20 superintending engineer
1718159,organization,deputy executive engineer
1718159,organization,assistant executive engineer
1718159,organization,al superintending engineer
1718159,organization,gandipalem project
1718159,organization,division of nellore district
1718159,organization,house
1718159,organization,the chief engineer irrigation department
1718159,organization,a.p
1718159,organization,ap
1718159,organization,krakatur small tank
1718159,organization,the government of a.p.
1718159,organization,p.w.d. department of government of a.p
1718159,organization,gandipalem division
1718159,organization,the floor of the house
1718159,organization,prosecution
1718159,organization,pw 10
1718159,organization,pw13
1718159,organization,pw 20
1718159,organization,p5
1718159,organization,irrigation
1718159,organization,pw 14
1718159,organization,irrigation and power department
1718159,organization,pw 17
1718159,organization,the irrigation north division
1718159,organization,juliflora
1718159,organization,a1 to a3
1718159,organization,kodavalur tank channel
1718159,organization,kodavalur
1718159,organization,kodavalur tank supply channel
1718159,organization,darsi
1718159,organization,pwd
1718159,organization,krakatur
1718159,country,India
1718159,city,Kanpur
1718159,city,Goa
1718159,city,Kovur
1718159,city,grave
1718159,person,c. chenga reddy
1718159,person,g.n. ray
1718159,person,a.s. anand
1718159,person,anand
1718159,person,shri l.r. kapoor pw.
1718159,person,nellore
1718159,person,mohd
1718159,person,rahamathullak-han pw
1718159,person,shri n.v.m. krishna
1718159,person,krishna pw 1
1718159,person,shri duggi reddy
1718159,person,dunji ramaiah
1718159,person,shri d.b. duggi reddy
