tid,label,token
139670361,organization,Mahavir Prasad & Ors
139670361,organization,Ghanshyampur Assembly
139670361,organization,Bihar Legislative Assembly
139670361,organization,High Court of Patna
139670361,organization,High Court
139670361,organization,Subordinate Civil Court
139670361,organization,Election Petition
139670361,organization,King Emperor
139670361,organization,Nazir Ahrnad
139670361,organization,Singhan Singh & Ors
139670361,organization,Supreme Court of India
139670361,organization,Patna High Court
139670361,organization,Court
139670361,organization,Utter Pradesh
139670361,organization,supreme court of india
139670361,organization,mahavir prasad & ors
139670361,organization,a.s. anand
139670361,organization,cji
139670361,organization,the bihar legislative assembly
139670361,organization,ghanshyampur assembly constituency
139670361,organization,the high court of patna
139670361,organization,court
139670361,organization,the election petitioner
139670361,organization,the joint registrar of this court
139670361,organization,the bench clerk
139670361,organization,the stamp reporter
139670361,organization,bench
139670361,organization,registrar
139670361,organization,a subordinate civil court
139670361,organization,the stamp reporter of the court
139670361,organization,the high court
139670361,organization,civil applications and motions
139670361,organization,civil applications & motions
139670361,organization,the registrar of the court
139670361,organization,rules
139670361,organization,the patna high court
139670361,organization,the obituary reference
139670361,location,Utter Pradesh
139670361,location,s. rajendra
139670361,location,babu
139670361,location,r.c. lahoti
139670361,person,chandra kishore jha
139670361,person,d a anand
139670361,person,s. rajendra babu
139670361,person,r.c. lahoti
139670361,person,chandra kishore
139670361,person,jha
139670361,person,shri p.k. verma
139670361,person,shri mahabir prasad
139670361,person,shri santosh kumar sinha
139670361,person,bench
139670361,person,judge
139670361,person,raj ballav prasad sinha
139670361,person,honble
139670361,person,nazir ahrnad
139670361,person,law
139670361,person,p.s. mishra
139670361,person,no.l
139670361,person,s.p. singh
139670361,person,mishra
139670361,law,the election petition
139670361,law,section 811
139670361,law,section 86 of the representation of the people act 1951 hereinafter the act
139670361,law,section 86 of the act
139670361,law,the high court rules
139670361,law,17.5.1995
139670361,law,section 661
139670361,law,section 81 of the act
139670361,law,the rules of the patna high court
139670361,law,chapter xxi-e
139670361,law,section 81 of the act. rule 6 of chapter xxi-e
139670361,law,act
139670361,law,rule 7
139670361,law,the proviso to rule 6
139670361,law,rule 9
139670361,law,section 861 of the act
139670361,law,the code of civil procedure
139670361,law,rule 13 of chapter ii
139670361,law,part-1 of the high court rules
139670361,law,clause 10 of the letters patent
139670361,law,probate or letters of administration
139670361,law,order xli
139670361,law,the patna high court rules
139670361,law,the act the code
139670361,law,rules
139670361,law,rulee
139670361,law,rule 6
139670361,law,rule 24 of chapter xxi-e
139670361,law,the rules contained in chapter xxi-e
139670361,law,this election petition
139670361,law,the obituary speech
139670361,law,the bench hearing civil applications and motions to the bench clerk
139670361,law,rule 13 of chapter it part i of the high court rules
139670361,law,rule 13
139670361,law,chapter ii
139670361,law,rule 24 supra
139670361,law,rule 6 of chapter xxi-e
139670361,law,the act or the rules thereunder
139670361,law,rule 6 supra
139670361,law,3.15 p.m.
139670361,law,section 10 of the general clauses act
139670361,law,any central act or regulation
139670361,law,the commencement of this act
139670361,law,the indian limitation act
139670361,law,1877 xv of 1887
