tid,label,token
1923487,country,union of india
1923487,country,India
1923487,location,Union Of India
1923487,location,India
1923487,location,Kasba Kashipur
1923487,location,grave
1923487,location,Kashipur
1923487,location,Manpur
1923487,location,Kalwa
1923487,location,Road
1923487,location,Kerala
1923487,location,Girital Colony
1923487,location,rudrapur
1923487,location,kasba kashipur
1923487,location,mohalla
1923487,location,mohalla katoratal
1923487,location,girital colony
1923487,location,kalwa
1923487,location,rajnish
1923487,location,kashipur
1923487,location,present district
1923487,location,india
1923487,location,debu
1923487,location,lsrail
1923487,location,west dinajpur
1923487,location,saraswathi
1923487,location,seshagiri
1923487,location,kerala
1923487,organization,Allahabad High Court
1923487,organization,District Magistrate
1923487,organization,IPC
1923487,organization,Government Hospital
1923487,organization,Local Intelligence Unit
1923487,organization,Union of India
1923487,organization,Roy
1923487,organization,Supreme Court
1923487,organization,Kamariinnissa
1923487,organization,High Court
1923487,organization,SCC
1923487,organization,Apex Court
1923487,organization,State
1923487,organization,Saraswathi Seshagiri
1923487,organization,State Government
1923487,organization,Advisory Board
1923487,organization,Central Government
1923487,organization,Girital Colony
1923487,organization,allahabad high court
1923487,organization,union of india
1923487,organization,uoi and ors.
1923487,organization,judgment n.s. gupta
1923487,organization,court
1923487,organization,the government hospital
1923487,organization,station kashipur
1923487,organization,i.p.c
1923487,organization,i.p.c.
1923487,organization,antisocial activities
1923487,organization,d.p.s
1923487,organization,magisterial
1923487,organization,home
1923487,organization,courts
1923487,organization,the local intelligence unit
1923487,organization,l.i.u.
1923487,organization,a.k. roy v. union of india
1923487,organization,kamariinnissa v. union of india
1923487,organization,the supreme court
1923487,organization,high court
1923487,organization,scc
1923487,organization,the apex court
1923487,organization,state of w.b.
1923487,organization,cofeposa
1923487,organization,state
1923487,organization,the state government
1923487,organization,the advisory board
1923487,organization,the central government
1923487,organization,fax
1923487,city,Kasba Kashipur
1923487,city,grave
1923487,city,Kashipur
1923487,city,Manpur
1923487,person,manoj alias ghantoori
1923487,person,n gupta
1923487,person,g tripathi
1923487,person,udham singh nagar
1923487,person,ashok kumar
1923487,person,mohallawalas
1923487,person,smt. sampatti
1923487,person,geeta
1923487,person,kaushalya
1923487,person,jadu
1923487,person,sundari devi
1923487,person,kunj behari
1923487,person,rajesh
1923487,person,nasim
1923487,person,abdul aziz
1923487,person,mukhtar husain
1923487,person,shivraj singh
1923487,person,maharaj singh
1923487,person,ramlila
1923487,person,lekhpal singh
1923487,person,sukhbir singh
1923487,person,ram pal singh
1923487,person,rajendra
1923487,person,banti jat
1923487,person,rakesh kumar
1923487,person,rajnish
1923487,person,dharmpal singh
1923487,person,kashipur
1923487,person,sanjai kumar
1923487,person,danda
1923487,person,p.n. singh
1923487,person,kotwali d.c.
1923487,person,rawat
1923487,person,goonda
1923487,person,balvinder singh
1923487,person,mahendra singh
1923487,person,jassa singh
1923487,person,gurusewak singh
1923487,person,umesh pahalwan
1923487,person,lathis
1923487,person,nahar singh
1923487,person,nirmal singh
1923487,person,karnal singh
1923487,person,satish alias mintoo
1923487,person,sri mahesh kumar gupta
1923487,person,sri r.s. agarwal
1923487,person,sri ram bilas jailor
1923487,person,sri jitendra kumar
1923487,person,kasba kashipur
1923487,person,shiv raj singh
1923487,person,hemant kumar sharma
1923487,person,sri manoj misra
1923487,person,sri mahendra pratap a.g.a.
1923487,person,ramesh yadav
1923487,person,amratlal prajivandas
1923487,person,anil dey
1923487,person,dharua kanu
1923487,law,article 226 of the constitution of india
1923487,law,section 3/1 of the national security act
1923487,law,case crime no. 376
1923487,law,sections
1923487,law,criminal law amendment
1923487,law,case crime no. 762
1923487,law,case crime no. 695/91
1923487,law,section 302
1923487,law,case crime no. 1025
1923487,law,case crime no. 624 of 93
1923487,law,section 504/506
1923487,law,section 2/3 of u.p. gangsters
1923487,law,case crime no. 64
1923487,law,case crime no. 33
1923487,law,section 147/307
1923487,law,crime no. 467
1923487,law,section 25 arms act
1923487,law,section 3/4
1923487,law,section 307
1923487,law,25 arms act
1923487,law,case crime no. 800/96
1923487,law,section 309/306
1923487,law,section 3/4 of gangsters
1923487,law,section 10 of the national security act
1923487,law,sc 315 supra
1923487,law,section 5a of national security act
1923487,law,the bench of honble
1923487,law,paragraph 48 of scc
1923487,law,sc 816
1923487,law,act
1923487,law,cofeposa
1923487,norp,indian
