tid,label,token
178445,organization,Supreme Court of India.Commnr
178445,organization,Acer India Ltd
178445,organization,ACER India Ltd.
178445,organization,Customs
178445,organization,Service Tax Appellate Tribunal
178445,organization,WIPRO
178445,organization,Tribunal
178445,organization,PSI Data Systems Ltd.
178445,organization,SCC
178445,organization,LSB
178445,organization,Commissioner.of Central Excise
178445,organization,EPROM
178445,organization,DOS
178445,organization,EEPROM
178445,organization,KB
178445,organization,Bengal Vs. Kesoram Industries
178445,organization,Cory & Sons Ltd.
178445,organization,Ltd
178445,organization,Indian Banks ' Association
178445,organization,Devkala Consultancy Services
178445,organization,Oxford University Press
178445,organization,See Oxford University
178445,organization,Maddi Venkatraman & Co.
178445,organization,P -RRB- Ltd.
178445,organization,See Mysore Minerals Ltd.
178445,organization,Court in Union
178445,organization,Bombay Tyre International Ltd.
178445,organization,Court in Bombay.Tyre International
178445,organization,Automatic data processing
178445,organization,Court in O.R.G.
178445,organization,DSI
178445,organization,Data Systems Ltd.
178445,organization,Key Board
178445,organization,HCL Hewlett Packard Ltd.
178445,organization,CCE
178445,organization,Tribunal in Sprint R.P.
178445,organization,India Ltd.
178445,organization,Court in Sprint R.P.
178445,organization,Shriram Bearings Ltd.
178445,organization,Ltd.
178445,organization,Philips India Ltd.
178445,organization,PSI Data Systems
178445,organization,Respondent
178445,organization,Court
178445,organization,Photopone Industries
178445,organization,supreme court of india
178445,organization,central excise
178445,organization,m/s. acer india ltd
178445,organization,revenue
178445,organization,customs
178445,organization,excise and service tax appellate tribunal
178445,organization,respondent
178445,organization,the commissioner of central excise
178445,organization,wipro
178445,organization,the superintendent of central excise
178445,organization,tribunal
178445,organization,court
178445,organization,psi data systems ltd.
178445,organization,division bench
178445,organization,bench
178445,organization,appellant
178445,organization,counsel
178445,organization,telecom dictionary
178445,organization,unix
178445,organization,servers
178445,organization,cape brandy syndicate
178445,organization,inland revenue commissioners
178445,organization,state of west bengal
178445,organization,kesoram industries ltd.
178445,organization,w.m. cory & sons ltd.
178445,organization,others vs. play world electronics pvt. ltd
178445,organization,indian banks association
178445,organization,bombay and ors. vs.
178445,organization,devkala consultancy services
178445,organization,ors.
178445,organization,oxford university press
178445,organization,maddi venkatraman & co.
178445,organization,p ltd.
178445,organization,mysore minerals ltd.
178445,organization,union of india
178445,organization,others vs. bombay tyre international ltd.
178445,organization,bombay tyre international ltd.
178445,organization,o.r.g. systems
178445,organization,dsi
178445,organization,adprint
178445,organization,p.s.i. data systems ltd.
178445,organization,a central processing unit
178445,organization,key board
178445,organization,hcl hewlett packard ltd.
178445,organization,india ltd.
178445,organization,heading 85.24
178445,organization,division bench of this court in sprint r.p.g. india ltd.
178445,organization,shriram bearings ltd.
178445,organization,photopone industries pvt. ltd.
178445,organization,philips india ltd.
178445,organization,excise
178445,organization,appellants
178445,organization,psi data systems
178445,location,10185
178445,location,10186
178445,location,Pondicherry
178445,location,Bangalore
178445,location,Newton
178445,location,Bombay
178445,location,Jammu
178445,location,Vadodara
178445,location,Meerut
178445,location,Delhi
178445,location,Patna
178445,location,Goa
178445,location,Pune
178445,location,SINHA
178445,location,South Zonal Bench
178445,location,St. Aubyn
178445,location,Madhya Pradesh
178445,location,Kashmir
178445,location,Ernakulam
178445,location,Karnataka
178445,location,India
178445,location,Union of India
178445,location,Photopone Industries
178445,location,pondicherry
178445,location,south zonal bench
178445,location,bangalore
178445,location,trichy
178445,location,india
178445,location,newton
178445,location,mathuram
178445,location,madhya pradesh
178445,location,hansraj
178445,location,jammu
178445,location,kashmir
178445,location,karnataka
178445,location,o.r.g.
178445,location,vadodara
178445,location,meerut
178445,location,sprint
178445,location,delhi
178445,location,patna
178445,location,goa
178445,location,pune
178445,city,Pondicherry
178445,city,Bangalore
178445,city,Newton
178445,city,Bombay
178445,city,Jammu
178445,city,Vadodara
178445,city,Meerut
178445,city,Delhi
178445,city,Patna
178445,city,Goa
178445,city,Pune
178445,country,India
178445,country,union of india
178445,person,s.b. sinha
178445,person,n. santosh hegde
178445,person,tarun chatterje
178445,person,commnr
178445,person,a. subba rao
178445,person,subba rao
178445,person,v. lakshmikumaran
178445,person,lakshmikumaran
178445,person,dushyant dave
178445,person,francis bennions
178445,law,chapter 84 of the schedule
178445,law,the central excise tariff act
178445,law,section 11a 1 of the central excise act
178445,law,section 11a 1
178445,law,section 4 of the central excise act
178445,law,collector of central excise
178445,law,the act
178445,law,the definition of transaction value
178445,law,clause d of sub-section 3 of section 4
178445,law,the customs tariff act
178445,law,chapter note 6 of chapter 85
178445,law,the transaction value
178445,law,section 41
178445,law,central excise act
178445,law,the second schedule to the central excise tariff act
178445,law,the schedule to the central excise tariff act
178445,law,the first schedule to the central excise tariff act
178445,law,act
178445,law,chapter sub-heading 8471.00 of the central excise tariff act
178445,law,1985 tariff act
178445,law,entry 84
178445,law,the seventh schedule of constitution of india
178445,law,article 265 of the constitution of india
178445,law,the tariff act
178445,law,the chapter note
178445,law,chapter note 6 vis- `-vis rule 1 of the general rules of interpretation and rule 3
178445,law,scc 667
178445,law,a taxing act
178445,law,scc 227
178445,law,example taxing acts
178445,law,section 2d of central excise act
178445,law,the first schedule
178445,law,section 3
178445,law,section 4
178445,law,clause
178445,law,section
178445,law,sub-section 1 of section 4
178445,law,chapter note 5
178445,law,chapter 84 of the tariff act
178445,law,rules 1 and 3
178445,law,chapter
178445,law,rule 1 of the rules for the interpretation of the first schedule
178445,law,the titles of sections and chapters
178445,law,chapter 84
178445,law,section or chapter notes
178445,law,chapter notes
178445,law,rule 3
178445,law,rules 3 of the rules for interpretation
178445,law,rule 1
178445,law,a parliamentary act. chapter note 6 of chapter 85
178445,law,chapter nos. 84
178445,law,the excise law
178445,law,note 6 to chapter 85
178445,law,chapter note 5 of chapter 84
178445,law,heading no. 85.24
178445,law,chapter 49
178445,law,section 43d of the act
178445,law,section 3 of the act
178445,law,chapter note 6
